country	total	Mon	Tue	Wed	Thu	Fri	Sat	Sun
Afghanistan	11516	0.11931	0.18097	0.22812	0.126	0.09743	0.13677	0.11141
Albania	91007	0.15398	0.14668	0.1391	0.13806	0.14078	0.13695	0.14446
Algeria	1909077	0.14983	0.14679	0.14824	0.13619	0.1357	0.13504	0.14821
American Samoa	155	0.09677	0.01935	0.14194	0.12258	0.21935	0.07097	0.32903
Andorra	2868	0.17155	0.18026	0.11785	0.16876	0.12343	0.10879	0.12936
Angola	3534	0.13582	0.13356	0.15478	0.15535	0.13752	0.15761	0.12535
Anguilla	4	0.5	0.0	0.0	0.0	0.25	0.25	0.0
Antigua and Barbuda	712	0.20365	0.25843	0.13343	0.05758	0.10253	0.10815	0.13624
Argentina	1942543	0.17286	0.17069	0.16667	0.15842	0.13282	0.08807	0.11047
Armenia	73568	0.15671	0.15639	0.15062	0.15622	0.13787	0.12345	0.11873
Aruba	608	0.12007	0.19408	0.13322	0.15625	0.18914	0.07401	0.13322
Australia	681829	0.15723	0.15288	0.15603	0.15954	0.14149	0.10909	0.12374
Austria	610835	0.16656	0.16863	0.16731	0.16201	0.13342	0.09195	0.11012
Azerbaijan	38911	0.16381	0.15389	0.14854	0.13952	0.13204	0.12081	0.14137
Bahrain	9040	0.17268	0.1542	0.16438	0.13341	0.1083	0.13053	0.1365
Bangladesh	462972	0.15611	0.15161	0.15094	0.14329	0.12325	0.12624	0.14855
Barbados	6210	0.14976	0.11465	0.13913	0.20081	0.09597	0.13027	0.1694
Belarus	252446	0.15158	0.15793	0.16508	0.15949	0.14532	0.1019	0.1187
Belgium	933729	0.17058	0.1703	0.16846	0.16337	0.13602	0.08294	0.10833
Belize	1253	0.15483	0.1253	0.15483	0.17957	0.13089	0.09018	0.16441
Benin	26854	0.15636	0.16534	0.15048	0.17379	0.15659	0.11239	0.08505
Bermuda	228	0.20614	0.07018	0.24561	0.20614	0.13158	0.05702	0.08333
Bhutan	10786	0.17708	0.16902	0.16086	0.16215	0.14992	0.06425	0.11673
Bolivia	124991	0.17224	0.17296	0.16297	0.1534	0.11864	0.09019	0.12961
Bosnia and Herzegovina	104640	0.15965	0.1619	0.16756	0.16563	0.13341	0.09936	0.11249
Botswana	8512	0.1566	0.18832	0.16823	0.16412	0.15555	0.08259	0.08459
Brazil	9245157	0.17156	0.1672	0.16003	0.15409	0.12502	0.09806	0.12404
British Virgin Islands	6339	0.14513	0.13993	0.18773	0.18126	0.13204	0.11311	0.1008
Brunei	25796	0.17301	0.16161	0.15343	0.15091	0.13211	0.11727	0.11165
Bulgaria	288897	0.15713	0.15368	0.15435	0.14879	0.14209	0.11682	0.12715
Burkina Faso	39746	0.1581	0.15619	0.1695	0.16719	0.14915	0.11251	0.08735
Burundi	1427	0.23756	0.17239	0.15487	0.22915	0.12334	0.03924	0.04345
Cambodia	61519	0.14886	0.15711	0.13451	0.16684	0.1665	0.11034	0.11583
Cameroon	136724	0.15993	0.16327	0.15765	0.15876	0.1473	0.11245	0.10064
Canada	3252264	0.15412	0.1493	0.15388	0.14764	0.13924	0.1244	0.13142
Cape Verde	914	0.10284	0.20022	0.15974	0.21225	0.11597	0.10722	0.10175
Caribbean Netherlands	164	0.18902	0.18293	0.12195	0.2439	0.18902	0.03659	0.03659
Cayman Islands	236	0.16102	0.09746	0.22881	0.13136	0.08475	0.13559	0.16102
Central African Republic	75	0.32	0.16	0.22667	0.16	0.04	0.02667	0.06667
Chad	319	0.2069	0.14734	0.15047	0.11912	0.16614	0.19122	0.01881
Chile	2214513	0.17372	0.16661	0.16425	0.15361	0.11816	0.09357	0.13007
China	31572183	0.15914	0.1599	0.166	0.16537	0.14335	0.09787	0.10836
Collectivity of Saint Martin	74	0.12162	0.09459	0.08108	0.35135	0.18919	0.04054	0.12162
Colombia	2734297	0.17006	0.16179	0.15768	0.14633	0.10806	0.10783	0.14825
Comoros	116	0.17241	0.17241	0.0431	0.40517	0.12931	0.07759	0.0
Cook Islands	9	0.0	0.0	0.44444	0.0	0.11111	0.0	0.44444
Costa Rica	251395	0.1638	0.15483	0.15786	0.1478	0.12229	0.10927	0.14416
Croatia	447577	0.16729	0.16617	0.16712	0.1615	0.13515	0.09123	0.11154
Cuba	126890	0.19606	0.18745	0.19057	0.19283	0.17374	0.03589	0.02346
Curaçao	921	0.13572	0.10098	0.11509	0.16612	0.19218	0.15418	0.13572
Cyprus	59864	0.15372	0.15532	0.16499	0.15452	0.13957	0.1114	0.12049
Czech Republic	457179	0.17537	0.1712	0.16611	0.16018	0.14024	0.083	0.10389
Czechia	57687	0.14977	0.14705	0.15829	0.14804	0.12809	0.12134	0.14742
Côte d'Ivoire	51511	0.14667	0.1628	0.16249	0.17521	0.14593	0.10912	0.09778
Democratic Republic of the Congo	9225	0.14157	0.14482	0.13366	0.14211	0.1793	0.12488	0.13366
Denmark	285401	0.15248	0.14145	0.15012	0.16023	0.14638	0.11913	0.1302
Djibouti	2155	0.16427	0.20882	0.15916	0.17169	0.07981	0.08306	0.13318
Dominica	252	0.15476	0.08333	0.11111	0.17857	0.13492	0.21032	0.12698
Dominican Republic	40411	0.15154	0.14739	0.14946	0.14701	0.13182	0.11579	0.15699
Ecuador	879688	0.16164	0.16247	0.16514	0.15655	0.11439	0.10226	0.13755
Egypt	1974998	0.14767	0.14377	0.14141	0.13505	0.14428	0.14236	0.14547
El Salvador	20856	0.1554	0.1636	0.15099	0.15027	0.11881	0.11795	0.14298
Equatorial Guinea	114	0.15789	0.0614	0.08772	0.21053	0.35088	0.08772	0.04386
Eritrea	96	0.375	0.19792	0.16667	0.07292	0.16667	0.01042	0.01042
Estonia	72378	0.15057	0.16739	0.15556	0.15245	0.14926	0.10285	0.12193
Ethiopia	203720	0.1628	0.16179	0.1745	0.16036	0.15845	0.1109	0.07121
Falkland Islands (Islas Malvinas)	193	0.10881	0.29534	0.20725	0.21244	0.10881	0.03109	0.03627
Faroe Islands	411	0.19221	0.21168	0.16302	0.21168	0.12409	0.02676	0.07056
Fiji	6912	0.1781	0.17549	0.1616	0.16782	0.13947	0.08058	0.09693
Finland	195379	0.15882	0.15741	0.16356	0.1611	0.14479	0.09638	0.11793
France	5244482	0.17062	0.1646	0.16699	0.15947	0.14164	0.08849	0.10818
French Guiana	5985	0.14018	0.1325	0.18028	0.20969	0.13333	0.08237	0.12164
French Polynesia	4343	0.16486	0.18513	0.18559	0.18144	0.10615	0.08082	0.09602
Gabon	7322	0.16375	0.17359	0.13261	0.15392	0.13057	0.18451	0.06105
Georgia	40317	0.139	0.14932	0.16229	0.14934	0.13488	0.13265	0.13252
Germany	3608504	0.16507	0.16234	0.16502	0.15818	0.14065	0.09382	0.11493
Ghana	154969	0.15509	0.17285	0.17127	0.16588	0.15584	0.09241	0.08666
Gibraltar	220	0.34545	0.15455	0.18182	0.11364	0.08636	0.03636	0.08182
Greece	1357245	0.15988	0.15813	0.15694	0.15197	0.13487	0.10689	0.13133
Greenland	184	0.18478	0.11957	0.11957	0.36413	0.07065	0.05435	0.08696
Grenada	856	0.18224	0.17757	0.10514	0.12967	0.12383	0.12266	0.15888
Guadeloupe	10271	0.17262	0.13777	0.16746	0.1586	0.1403	0.09103	0.13222
Guam	3644	0.17591	0.19374	0.17892	0.16136	0.1213	0.08068	0.08809
Guatemala	68505	0.17099	0.16062	0.16152	0.14409	0.10458	0.10871	0.14949
Guernsey	197	0.16751	0.15228	0.12183	0.14213	0.20305	0.05584	0.15736
Guinea	15054	0.1124	0.16162	0.14083	0.20061	0.15458	0.12369	0.10628
Guinea-Bissau	215	0.07907	0.25116	0.00465	0.13953	0.25581	0.1907	0.07907
Guyana	4231	0.15717	0.12385	0.13496	0.14465	0.10187	0.18506	0.15245
Haiti	2257	0.14444	0.15109	0.19318	0.15685	0.15419	0.10013	0.10013
Honduras	33149	0.15086	0.14381	0.14637	0.12721	0.14157	0.13463	0.15554
Hong Kong	2065569	0.16008	0.16017	0.16515	0.15216	0.14494	0.10818	0.10931
Hungary	718030	0.16475	0.16004	0.16175	0.15434	0.13784	0.10044	0.12084
Iceland	67842	0.15632	0.15286	0.16969	0.15595	0.14357	0.10844	0.11317
India	17152204	0.15949	0.16725	0.16925	0.16772	0.1503	0.10215	0.08384
Indonesia	7708906	0.15804	0.16232	0.15888	0.15501	0.13285	0.10686	0.12605
Iran	9346417	0.15401	0.14997	0.14087	0.12754	0.13106	0.14231	0.15423
Iraq	554912	0.13864	0.14389	0.13694	0.13675	0.15951	0.14509	0.13918
Ireland	388546	0.16768	0.16802	0.16661	0.15904	0.13016	0.09744	0.11104
Isle of Man	432	0.17593	0.13426	0.12731	0.19444	0.11806	0.10648	0.14352
Israel	310318	0.16437	0.15323	0.15012	0.14227	0.09909	0.12528	0.16565
Italy	3329302	0.16276	0.16261	0.15809	0.15674	0.13981	0.101	0.11899
Jamaica	17555	0.15449	0.16827	0.15853	0.1591	0.12139	0.10766	0.13056
Japan	1674183	0.16303	0.16524	0.16076	0.15935	0.14598	0.10057	0.10508
Jersey	592	0.13514	0.13514	0.18412	0.15372	0.12331	0.09797	0.17061
Jordan	285753	0.15207	0.14471	0.14365	0.127	0.1437	0.14697	0.14189
Kazakhstan	140220	0.1656	0.15794	0.16353	0.16042	0.13912	0.09739	0.11599
Kenya	135006	0.15692	0.1589	0.16661	0.16447	0.1477	0.10762	0.09778
Kosovo	835	0.16886	0.21198	0.18563	0.13413	0.21916	0.04072	0.03952
Kuwait	48261	0.16137	0.15366	0.15308	0.13319	0.11007	0.1294	0.15922
Kyrgyzstan	6238	0.16496	0.15967	0.17554	0.15133	0.13113	0.10885	0.10853
Laos	8953	0.16698	0.19245	0.19491	0.15816	0.13705	0.08344	0.06702
Latvia	188309	0.16221	0.16098	0.16163	0.15646	0.1389	0.10783	0.11198
Lebanon	125779	0.16757	0.14763	0.14256	0.14062	0.1331	0.12391	0.14461
Lesotho	976	0.14447	0.12705	0.14139	0.1332	0.07172	0.06967	0.3125
Liberia	16050	0.37614	0.03364	0.03963	0.01246	0.13931	0.22006	0.17875
Libya	31619	0.15241	0.13191	0.14055	0.13109	0.15642	0.14007	0.14754
Liechtenstein	1918	0.22106	0.15016	0.19239	0.17414	0.07769	0.10792	0.07664
Lithuania	276479	0.17007	0.15859	0.16065	0.15958	0.12549	0.09689	0.12873
Luxembourg	183324	0.15855	0.14889	0.14732	0.1534	0.16234	0.11854	0.11096
Macau	67895	0.17205	0.16514	0.16979	0.1824	0.15615	0.07114	0.08333
Macedonia (FYROM)	62415	0.14533	0.15708	0.18116	0.15395	0.12592	0.11566	0.1209
Madagascar	30495	0.16685	0.15386	0.15314	0.16199	0.15839	0.12228	0.08349
Malawi	8553	0.14428	0.14358	0.16369	0.13796	0.21934	0.07986	0.11131
Malaysia	3217836	0.15814	0.16049	0.16322	0.15683	0.12787	0.10433	0.12912
Maldives	3792	0.18513	0.13792	0.11023	0.13133	0.15612	0.14926	0.13001
Mali	10226	0.15304	0.19108	0.13651	0.15353	0.13818	0.11031	0.11735
Malta	62485	0.16778	0.15085	0.14844	0.1488	0.12137	0.11836	0.14439
Martinique	5850	0.16786	0.15487	0.13453	0.13624	0.11077	0.13863	0.15709
Mauritania	6205	0.13795	0.16471	0.19678	0.16567	0.11136	0.11749	0.10604
Mauritius	63703	0.15932	0.15922	0.14769	0.1496	0.13674	0.10891	0.13852
Mayotte	707	0.15276	0.14427	0.14427	0.14003	0.13296	0.15842	0.1273
Mexico	4404967	0.17053	0.16903	0.16508	0.15509	0.11282	0.09394	0.13352
Moldova	112110	0.14482	0.13654	0.18526	0.1477	0.16289	0.11067	0.1121
Monaco	1517	0.1648	0.16348	0.17732	0.22215	0.17337	0.04021	0.05867
Mongolia	18021	0.18012	0.17319	0.16692	0.17108	0.14899	0.07253	0.08718
Montenegro	17289	0.17248	0.16132	0.15015	0.16195	0.12869	0.10006	0.12534
Montserrat	38	0.15789	0.44737	0.15789	0.0	0.10526	0.13158	0.0
Morocco	1541062	0.15564	0.15404	0.15443	0.15527	0.12845	0.11759	0.13458
Mozambique	9654	0.17071	0.15859	0.16149	0.17848	0.14709	0.08214	0.10151
Myanmar (Burma)	49413	0.17054	0.17953	0.16508	0.17803	0.16154	0.07002	0.07526
N/A	16754	0.17841	0.19022	0.17321	0.17858	0.14408	0.05849	0.077
Namibia	6166	0.18099	0.13818	0.13201	0.15683	0.16461	0.1085	0.11888
Nauru	3	0.0	0.0	0.0	0.33333	0.33333	0.0	0.33333
Nepal	192844	0.15174	0.16317	0.15249	0.15081	0.12785	0.11681	0.13713
Netherlands	2622157	0.15815	0.15184	0.15555	0.15117	0.14233	0.11311	0.12785
New Caledonia	9578	0.19409	0.17707	0.18334	0.19106	0.15661	0.03832	0.05951
New Zealand	132311	0.16936	0.16102	0.15193	0.15457	0.14559	0.10671	0.11082
Nicaragua	30162	0.15937	0.15738	0.15854	0.14571	0.10686	0.11627	0.15586
Niger	4974	0.12304	0.14938	0.16787	0.16043	0.14113	0.14194	0.1162
Nigeria	528137	0.15238	0.1586	0.16221	0.16088	0.14635	0.11175	0.10783
Norfolk Island	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
North Korea	3773	0.09621	0.20806	0.26054	0.21415	0.11529	0.08905	0.0167
Northern Mariana Islands	116	0.16379	0.15517	0.37931	0.0431	0.12931	0.02586	0.10345
Norway	201455	0.15747	0.15498	0.16687	0.16488	0.14746	0.09966	0.10869
Oman	36475	0.14229	0.15167	0.16483	0.14081	0.12639	0.12033	0.15369
Pakistan	2567963	0.15026	0.15775	0.1607	0.15438	0.13272	0.11508	0.12911
Palau	8	0.25	0.0	0.125	0.125	0.125	0.375	0.0
Palestine	1299	0.25558	0.12394	0.06928	0.05389	0.06005	0.398	0.03926
Panama	79874	0.15789	0.14483	0.16537	0.14234	0.11451	0.13268	0.14239
Papua New Guinea	799	0.08761	0.12891	0.17272	0.17397	0.17522	0.12766	0.13392
Paraguay	45349	0.15453	0.16944	0.15573	0.15431	0.14018	0.09738	0.12843
Peru	1774918	0.15455	0.15259	0.15304	0.14743	0.12857	0.11153	0.1523
Philippines	1618145	0.15546	0.15152	0.15267	0.15238	0.13123	0.11523	0.14151
Poland	1368894	0.16255	0.15903	0.15864	0.15842	0.13417	0.10243	0.12475
Portugal	2058166	0.16774	0.16536	0.16188	0.15836	0.13078	0.0983	0.11758
Puerto Rico	76949	0.16603	0.16035	0.15922	0.14664	0.11771	0.10909	0.14095
Qatar	45331	0.15777	0.15687	0.15868	0.13262	0.11361	0.12537	0.15508
Republic of the Congo	5414	0.1304	0.16993	0.16199	0.13077	0.15959	0.10898	0.13835
Reunion	25992	0.15866	0.15909	0.1649	0.16197	0.13019	0.10022	0.12496
Romania	1300836	0.15405	0.14778	0.15355	0.15097	0.14146	0.12193	0.13028
Russia	4948657	0.16596	0.16227	0.16103	0.1589	0.14278	0.09368	0.11538
Rwanda	16230	0.14264	0.20709	0.17036	0.1597	0.15829	0.08226	0.07967
Saint Barthélemy	11	0.0	0.27273	0.45455	0.0	0.09091	0.18182	0.0
Saint Kitts and Nevis	4973	0.14961	0.10014	0.16167	0.12467	0.1669	0.2043	0.0927
Saint Lucia	259	0.18533	0.07336	0.18147	0.15058	0.18533	0.12355	0.10039
Saint Martin	7	0.0	0.14286	0.28571	0.0	0.42857	0.0	0.14286
Saint Pierre and Miquelon	7	0.14286	0.0	0.42857	0.0	0.0	0.28571	0.14286
Saint Vincent and the Grenadines	272	0.15809	0.25735	0.18015	0.125	0.04412	0.1875	0.04779
Saint-Barthélemy	33	0.09091	0.27273	0.09091	0.06061	0.15152	0.24242	0.09091
Samoa	63	0.06349	0.12698	0.31746	0.09524	0.11111	0.03175	0.25397
San Marino	645	0.23721	0.17364	0.18605	0.18605	0.09612	0.04341	0.07752
Saudi Arabia	359815	0.15145	0.15118	0.15129	0.13317	0.12629	0.14082	0.14579
Senegal	64125	0.1631	0.15581	0.1554	0.15337	0.13475	0.11774	0.11983
Serbia	387128	0.15731	0.15414	0.16163	0.1542	0.13493	0.10787	0.12992
Seychelles	259060	0.15457	0.14314	0.13593	0.13752	0.12973	0.14301	0.1561
Sierra Leone	976	0.15881	0.20799	0.12398	0.1209	0.12398	0.11988	0.14447
Singapore	1818078	0.14675	0.15324	0.1535	0.15708	0.1422	0.11599	0.13124
Sint Maarten	159	0.10692	0.16981	0.14465	0.2327	0.14465	0.08176	0.1195
Slovakia	416925	0.1612	0.15811	0.1554	0.14549	0.14526	0.1108	0.12375
Slovenia	276074	0.16863	0.16347	0.17116	0.15545	0.12704	0.09457	0.11968
Solomon Islands	111	0.0991	0.23423	0.2973	0.15315	0.0991	0.03604	0.08108
Somalia	6338	0.15163	0.13885	0.1876	0.13175	0.11518	0.1319	0.14311
South Africa	408668	0.16405	0.16764	0.16674	0.16822	0.1383	0.09291	0.10215
South Korea	3438481	0.16942	0.16267	0.15663	0.15731	0.15429	0.10372	0.09596
South Sudan	105	0.14286	0.18095	0.15238	0.18095	0.2	0.07619	0.06667
Spain	3954151	0.17308	0.16998	0.16836	0.163	0.13156	0.08524	0.10878
Sri Lanka	347776	0.15158	0.15679	0.15665	0.15711	0.13509	0.11669	0.12609
Sudan	84415	0.16347	0.16009	0.14969	0.14162	0.10227	0.12966	0.15321
Suriname	5528	0.16968	0.18144	0.18669	0.16245	0.11433	0.10221	0.08321
Swaziland	955	0.13403	0.21152	0.20419	0.16335	0.14241	0.04084	0.10366
Sweden	717727	0.14463	0.13967	0.15769	0.15131	0.15229	0.12546	0.12895
Switzerland	980763	0.15633	0.15367	0.16117	0.15723	0.14404	0.11021	0.11736
Syria	139361	0.15651	0.13996	0.1431	0.1304	0.1463	0.13743	0.1463
São Tomé and Príncipe	486	0.15226	0.22222	0.13786	0.13374	0.05761	0.12963	0.16667
Taiwan	2542474	0.16996	0.16632	0.16666	0.16238	0.1383	0.08789	0.10849
Tajikistan	2484	0.10628	0.08776	0.15499	0.34541	0.0789	0.0777	0.14895
Tanzania	87467	0.16422	0.1641	0.16763	0.15979	0.13503	0.10598	0.10325
Thailand	830216	0.15626	0.15893	0.15616	0.15226	0.13176	0.11166	0.13297
The Bahamas	1909	0.16867	0.12729	0.14667	0.1341	0.11524	0.12677	0.18125
The Gambia	1787	0.12087	0.13766	0.18635	0.35478	0.0873	0.05372	0.05932
Timor-Leste	1214	0.0799	0.15733	0.06096	0.07578	0.14003	0.02965	0.45634
Togo	6637	0.15293	0.18427	0.13877	0.15097	0.14495	0.1347	0.09342
Tonga	32	0.25	0.125	0.1875	0.25	0.15625	0.0	0.03125
Trinidad and Tobago	12126	0.14811	0.16444	0.14523	0.14572	0.1143	0.12873	0.15347
Tunisia	1841460	0.15974	0.15845	0.15876	0.155	0.13417	0.1086	0.12529
Turkey	2613583	0.16299	0.15743	0.15524	0.14963	0.12615	0.10693	0.14163
Turkmenistan	2426	0.14303	0.15993	0.34955	0.12778	0.11088	0.05688	0.05194
Turks and Caicos Islands	387	0.1292	0.22481	0.10853	0.29974	0.14212	0.0646	0.03101
Tuvalu	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
U.S. Virgin Islands	282	0.12411	0.1844	0.22695	0.11702	0.07447	0.08511	0.18794
Uganda	77705	0.17505	0.1552	0.14245	0.1372	0.1399	0.13169	0.11851
Ukraine	988256	0.16481	0.16346	0.16229	0.15823	0.13875	0.09913	0.11333
United Arab Emirates	161828	0.16386	0.15838	0.15212	0.14026	0.1096	0.11646	0.15932
United Kingdom	3695089	0.15719	0.14962	0.16206	0.15748	0.14138	0.10928	0.12299
United States	14236732	0.15016	0.1477	0.15327	0.15597	0.13883	0.1221	0.13197
Uruguay	187652	0.17584	0.17011	0.16753	0.15944	0.13814	0.08825	0.10068
Uzbekistan	29017	0.1596	0.15629	0.16463	0.15808	0.13937	0.12217	0.09987
Vanuatu	332	0.12651	0.14458	0.09337	0.0994	0.10241	0.07831	0.35542
Venezuela	506506	0.14699	0.14957	0.14906	0.14583	0.12655	0.12706	0.15494
Vietnam	1607108	0.15342	0.15619	0.15623	0.15531	0.14025	0.11241	0.12619
Wallis and Futuna	39	0.02564	0.4359	0.17949	0.10256	0.0	0.25641	0.0
Yemen	34289	0.156	0.14378	0.14028	0.14188	0.11581	0.14325	0.159
Zambia	7097	0.15288	0.14767	0.16091	0.16866	0.14457	0.11216	0.11315
Zimbabwe	27405	0.16128	0.20996	0.1834	0.1657	0.12928	0.07462	0.07575
Åland Islands	220	0.12727	0.1	0.18182	0.22727	0.18182	0.06818	0.11364
