Afghanistan	Asia/Kabul
Åland Islands	Europe/Mariehamn
Albania	Europe/Tirane
Algeria	Africa/Algiers
American Samoa	Pacific/Pago_Pago
Andorra	Europe/Andorra
Angola	Africa/Luanda
Anguilla	America/Anguilla
Antigua and Barbuda	America/Antigua
Armenia	Asia/Yerevan
Aruba	America/Aruba
Austria	Europe/Vienna
Azerbaijan	Asia/Baku
Bahamas	America/Nassau
Bahrain	Asia/Bahrain
Bangladesh	Asia/Dhaka
Barbados	America/Barbados
Belarus	Europe/Minsk
Belgium	Europe/Brussels
Belize	America/Belize
Benin	Africa/Porto-Novo
Bermuda	Atlantic/Bermuda
Bhutan	Asia/Thimphu
Bolivia	America/La_Paz
Bolivia, Plurinational State Of	America/La_Paz
Bonaire, Sint Eustatius and Saba	America/Kralendijk
Bosnia and Herzegovina	Europe/Sarajevo
Botswana	Africa/Gaborone
British Indian Ocean Territory	Indian/Chagos
British Virgin Islands	America/Tortola
Brunei	Asia/Brunei
Brunei Darussalam	Asia/Brunei
Bulgaria	Europe/Sofia
Burkina Faso	Africa/Ouagadougou
Burundi	Africa/Bujumbura
Cambodia	Asia/Phnom_Penh
Cameroon	Africa/Douala
Cape Verde	Atlantic/Cape_Verde
Cayman Islands	America/Cayman
Central African Republic	Africa/Bangui
Chad	Africa/Ndjamena
Christmas Island	Indian/Christmas
Cocos (Keeling) Islands	Indian/Cocos
Collectivity of Saint Martin	America/Marigot
Colombia	America/Bogota
Comoros	Indian/Comoro
Congo	Africa/Brazzaville
Cook Islands	Pacific/Rarotonga
Costa Rica	America/Costa_Rica
Côte D'ivoire	Africa/Abidjan
Côte d'Ivoire	Africa/Abidjan
Croatia	Europe/Zagreb
Cuba	America/Havana
Curaçao	America/Curacao
Czech Republic	Europe/Prague
Czechia	Europe/Prague
Denmark	Europe/Copenhagen
Djibouti	Africa/Djibouti
Dominica	America/Dominica
Dominican Republic	America/Santo_Domingo
Egypt	Africa/Cairo
El Salvador	America/El_Salvador
Equatorial Guinea	Africa/Malabo
Eritrea	Africa/Asmara
Estonia	Europe/Tallinn
Ethiopia	Africa/Addis_Ababa
Falkland Islands (Islas Malvinas)	Atlantic/Stanley
Falkland Islands (Malvinas)	Atlantic/Stanley
Faroe Islands	Atlantic/Faroe
Fiji	Pacific/Fiji
Finland	Europe/Helsinki
France	Europe/Paris
French Guiana	America/Cayenne
French Southern Territories	Indian/Kerguelen
Gabon	Africa/Libreville
Gambia	Africa/Banjul
Georgia	Asia/Tbilisi
Germany	Europe/Berlin
Ghana	Africa/Accra
Gibraltar	Europe/Gibraltar
Greece	Europe/Athens
Grenada	America/Grenada
Guadeloupe	America/Guadeloupe
Guam	Pacific/Guam
Guatemala	America/Guatemala
Guernsey	Europe/Guernsey
Guinea	Africa/Conakry
Guinea-Bissau	Africa/Bissau
Guyana	America/Guyana
Haiti	America/Port-au-Prince
Holy See (Vatican City State)	Europe/Vatican
Honduras	America/Tegucigalpa
Hong Kong	Asia/Hong_Kong
Hungary	Europe/Budapest
Iceland	Atlantic/Reykjavik
India	Asia/Kolkata
Iran	Asia/Tehran
Iran, Islamic Republic Of	Asia/Tehran
Iraq	Asia/Baghdad
Ireland	Europe/Dublin
Isle of Man	Europe/Isle_of_Man
Israel	Asia/Jerusalem
Italy	Europe/Rome
Jamaica	America/Jamaica
Japan	Asia/Tokyo
Jersey	Europe/Jersey
Jordan	Asia/Amman
Kenya	Africa/Nairobi
Korea, Democratic People's Republic Of	Asia/Pyongyang
Korea, Republic Of	Asia/Seoul
Kosovo	Europe/Belgrade
Kuwait	Asia/Kuwait
Kyrgyzstan	Asia/Bishkek
Lao People's Democratic Republic	Asia/Vientiane
Laos	Asia/Vientiane
Latvia	Europe/Riga
Lebanon	Asia/Beirut
Lesotho	Africa/Maseru
Liberia	Africa/Monrovia
Libya	Africa/Tripoli
Liechtenstein	Europe/Vaduz
Lithuania	Europe/Vilnius
Luxembourg	Europe/Luxembourg
Macao	Asia/Macau
Macau	Asia/Macau
Macedonia (FYROM)	Europe/Skopje
Macedonia, the Former Yugoslav Republic Of	Europe/Skopje
Madagascar	Indian/Antananarivo
Malawi	Africa/Blantyre
Maldives	Indian/Maldives
Mali	Africa/Bamako
Malta	Europe/Malta
Martinique	America/Martinique
Mauritania	Africa/Nouakchott
Mauritius	Indian/Mauritius
Mayotte	Indian/Mayotte
Moldova	Europe/Chisinau
Moldova, Republic Of	Europe/Chisinau
Monaco	Europe/Monaco
Montenegro	Europe/Podgorica
Montserrat	America/Montserrat
Morocco	Africa/Casablanca
Mozambique	Africa/Maputo
Myanmar	Asia/Yangon
Myanmar (Burma)	Asia/Yangon
Namibia	Africa/Windhoek
Nauru	Pacific/Nauru
Nepal	Asia/Kathmandu
Netherlands	Europe/Amsterdam
New Caledonia	Pacific/Noumea
Nicaragua	America/Managua
Niger	Africa/Niamey
Nigeria	Africa/Lagos
Niue	Pacific/Niue
Norfolk Island	Pacific/Norfolk
North Korea	Asia/Pyongyang
Northern Mariana Islands	Pacific/Saipan
Norway	Europe/Oslo
Oman	Asia/Muscat
Pakistan	Asia/Karachi
Palau	Pacific/Palau
Palestine	Asia/Hebron
Palestine, State Of	Asia/Hebron
Panama	America/Panama
Paraguay	America/Asuncion
Peru	America/Lima
Philippines	Asia/Manila
Pitcairn	Pacific/Pitcairn
Poland	Europe/Warsaw
Puerto Rico	America/Puerto_Rico
Qatar	Asia/Qatar
Republic of the Congo	Africa/Brazzaville
Reunion	Indian/Reunion
Réunion	Indian/Reunion
Romania	Europe/Bucharest
Rwanda	Africa/Kigali
Saint Barthélemy	America/St_Barthelemy
Saint Helena, Ascension and Tristan Da Cunha	Atlantic/St_Helena
Saint Kitts and Nevis	America/St_Kitts
Saint Lucia	America/St_Lucia
Saint Martin	America/Marigot
Saint Martin (French Part)	America/Marigot
Saint Pierre and Miquelon	America/Miquelon
Saint Vincent and the Grenadines	America/St_Vincent
Saint-Barthélemy	America/St_Barthelemy
Samoa	Pacific/Apia
San Marino	Europe/San_Marino
Sao Tome and Principe	Africa/Sao_Tome
São Tomé and Príncipe	Africa/Sao_Tome
Saudi Arabia	Asia/Riyadh
Senegal	Africa/Dakar
Serbia	Europe/Belgrade
Seychelles	Indian/Mahe
Sierra Leone	Africa/Freetown
Singapore	Asia/Singapore
Sint Maarten	America/Lower_Princes
Sint Maarten (Dutch Part)	America/Lower_Princes
Slovakia	Europe/Bratislava
Slovenia	Europe/Ljubljana
Solomon Islands	Pacific/Guadalcanal
Somalia	Africa/Mogadishu
South Africa	Africa/Johannesburg
South Georgia and the South Sandwich Islands	Atlantic/South_Georgia
South Korea	Asia/Seoul
South Sudan	Africa/Juba
Sri Lanka	Asia/Colombo
Sudan	Africa/Khartoum
Suriname	America/Paramaribo
Svalbard and Jan Mayen	Arctic/Longyearbyen
Swaziland	Africa/Mbabane
Sweden	Europe/Stockholm
Switzerland	Europe/Zurich
Syria	Asia/Damascus
Syrian Arab Republic	Asia/Damascus
Taiwan	Asia/Taipei
Taiwan, Province of China	Asia/Taipei
Tajikistan	Asia/Dushanbe
Tanzania	Africa/Dar_es_Salaam
Tanzania, United Republic Of	Africa/Dar_es_Salaam
Thailand	Asia/Bangkok
The Bahamas	America/Nassau
Timor-Leste	Asia/Dili
Togo	Africa/Lome
Tokelau	Pacific/Fakaofo
Tonga	Pacific/Tongatapu
Trinidad and Tobago	America/Port_of_Spain
Tunisia	Africa/Tunis
Turkey	Europe/Istanbul
Turkmenistan	Asia/Ashgabat
Turks and Caicos Islands	America/Grand_Turk
Tuvalu	Pacific/Funafuti
U.S. Virgin Islands	America/St_Thomas
Uganda	Africa/Kampala
Ukraine	Europe/Kiev
United Arab Emirates	Asia/Dubai
United Kingdom	Europe/London
Uruguay	America/Montevideo
Uzbekistan	Asia/Tashkent
Vanuatu	Pacific/Efate
Venezuela	America/Caracas
Venezuela, Bolivarian Republic Of	America/Caracas
Viet Nam	Asia/Ho_Chi_Minh
Vietnam	Asia/Ho_Chi_Minh
Virgin Islands, British	America/Tortola
Virgin Islands, U.s.	America/St_Thomas
Wallis and Futuna	Pacific/Wallis
Western Sahara	Africa/El_Aaiun
Yemen	Asia/Aden
Zambia	Africa/Lusaka
Zimbabwe	Africa/Harare
